"name","count"
"Data Scientist",4
"Специалист-исследователь Data science & information security",1
"Специалист big data прогностическая аналитика data mining",1
"клиентская аналитика",1
"Аналитик больших данных",1
"Аналитик",1
"Team lead Data Science",1
"Researcher",1
"IT руководитель команды направление Data Science",1
"Head of Data Science Depatrment",1
"Head of Data Science",1
"Data Scientist",1
"Data Science Product Manager Demand Planning and Inventory Management",1
"Data and Business Intelligence Manager",1
"Data Analyst Big Data",1
"Big Data",1
